TAG,Description,from,to,Format,Unit,Alarm,Type,Prefix
PT-9200-70-1,STEAM HEADER,0,30,2.2,bar,A0002,2,PT_9200_70_1
PT-9200-70-2,STEAM HEADER,0,30,2.2,bar,A0002,2,PT_9200_70_2
PT-9200-70-3,STEAM HEADER,0,30,2.2,bar,A0002,2,PT_9200_70_3
PT-9510-06-1,INSTRUMENT AIR,0,15,2.2,bar,A0002,2,PT_9510_06_1
PT-9510-06-2,INSTRUMENT AIR,0,15,2.2,bar,A0002,2,PT_9510_06_2
PT-9510-06-3,INSTRUMENT AIR,0,15,2.2,bar,A0002,2,PT_9510_06_3
DGT-090101,UCR-HVAC-SO2,0,20,2.2,ppm,A2200,2,DGT_090101
DGT-090102,UCR-HVAC-H2S,0,20,2.2,ppm,A2200,2,DGT_090102
DGC-090101,UCR-HVAC-CMB,0,100,3.1,LEL,A2200,2,DGC_090101
DGC-090102,UCR-HVAC-CMB,0,100,3.1,LEL,A2200,2,DGC_090102
DGC-090103,UCR-BATT-CMB,0,100,3.1,LEL,A2200,2,DGC_090103
DGC-100101,MSR-HVAC-CMB,0,100,3.1,LEL,A2200,2,DGC_100101
DGC-100102,MSR-HVAC-CMB,0,100,3.1,LEL,A2200,2,DGC_100102
DGC-100103,MSR-BATT-CMB,0,100,3.1,LEL,A2200,2,DGC_100103
DGT-100101,MSR-HVAC-SO2,0,20,2.2,ppm,A2200,2,DGT_100101
DGT-100102,MSR-HVAC-H2S,0,20,2.2,ppm,A2200,2,DGT_100102
DGC-101001,BOILER C,0,100,3.1,LEL,A2200,2,DGC_101001
DGC-101102,BOILER B,0,100,3.1,LEL,A2200,2,DGC_101102
DGC-101201,BOILER A,0,100,3.1,LEL,A2200,2,DGC_101201
DGC-101301,SUB_1-HVAC-CMB,0,100,3.1,LEL,A2200,2,DGC_101301
DGC-101302,SUB_1-HVAC-CMB,0,100,3.1,LEL,A2200,2,DGC_101302
DGC-101303,SUB_1-BATT-CMB,0,100,3.1,LEL,A2200,2,DGC_101303
DGT-101301,SUB_1-HVAC-SO2,0,20,2.2,ppm,A2200,2,DGT_101301
DGT-101302,SUB_1-HVAC-H2S,0,20,2.2,ppm,A2200,2,DGT_101302
DGT-110101,LER_4-HVAC-SO2,0,20,2.2,ppm,A2200,2,DGT_110101
DGT-110102,LER_4-HVAC-H2S,0,20,2.2,ppm,A2200,2,DGT_110102
DGC-110101,LER_4-HVAC-CMB,0,100,3.1,LEL,A2200,2,DGC_110101
DGC-110102,LER_4-HVAC-CMB,0,100,3.1,LEL,A2200,2,DGC_110102
DGC-110103,LER_4-BATT-CMB,0,100,3.1,LEL,A2200,2,DGC_110103
