Type,Prefix,Tag,Description,text upper button,text lower button,Tag upper button,Tag lower button
0,EY_9140_01,EY-9140-01,INLET POTABLE WATER,Open,Close,PB_9140_01_MA_OP,PB_9140_01_MA_CL
0,EY_9140_02,EY-9140-02,INLET POTABLE WATER,Open,Close,PB_9140_02_MA_OP,PB_9140_02_MA_CL
0,EY_9150_01,EY-9150-01,DEMIN WATER TO TK-91,Open,Close,PB_9150_01_MA_OP,PB_9150_01_MA_CL
0,EY_9150_02,EY-9150-02,DEMIN WATER TO TK-91,Open,Close,PB_9150_02_MA_OP,PB_9150_02_MA_CL
0,EY_9320_01,EY-9320-01,DIESEL TANKS OUTLET,Open,Close,PB_9320_01_MA_OP,PB_9320_01_MA_CL
0,EY_9510_02,EY-9510-02,ESDV-02,Open,Close,PB_9510_02_MA_OP,PB_9510_02_MA_CL
0,EY_9510_01,EY-9510-01,ESDV-01,Open,Close,PB_9510_01_MA_OP,PB_9510_01_MA_CL
0,EY_9900_02,EY-9900-02,DEPRESSURIZING TO FL,Open,Close,PB_9900_02_MA_OP,PB_9900_02_MA_CL
2,SSX_101A,SSX-101A,GEN S/D FROM FIRE&GA,Activate,Remove,SSX_101A_OSS,SSX_101A_OSR
2,LSHH_9140_01,LSHH-9140-01,POTABLE WATER 1-TK-9,Activate,Remove,LSHH_9140_01_OSS,LSHH_9140_01_OSR
2,LSHH_9140_03,LSHH-9140-03,POTABLE WATER 1-TK-9,Activate,Remove,LSHH_9140_03_OSS,LSHH_9140_03_OSR
2,LSHH_9150_05,LSHH-9150-05,DEMIN WATER 1-TK-915,Activate,Remove,LSHH_9150_05_OSS,LSHH_9150_05_OSR
2,LSHH_9150_07,LSHH-9150-07,DEMIN WATER 1-TK-915,Activate,Remove,LSHH_9150_07_OSS,LSHH_9150_07_OSR
2,LSLL_9110_04,LSLL-9110-04,OFF-SPEC TK-91101,Activate,Remove,LSLL_9110_04_OSS,LSLL_9110_04_OSR
2,LSLL_9130_02,LSLL-9130-02,PLANT WATER 1-TK-913,Activate,Remove,LSLL_9130_02_OSS,LSLL_9130_02_OSR
2,LSLL_9140_02,LSLL-9140-02,POTABLE WATER 1-TK-9,Activate,Remove,LSLL_9140_02_OSS,LSLL_9140_02_OSR
2,LSLL_9140_04,LSLL-9140-04,POTABLE WATER 1-TK-9,Activate,Remove,LSLL_9140_04_OSS,LSLL_9140_04_OSR
2,LSLL_9150_06,LSLL-9150-06,DEMIN WATER 1-TK-915,Activate,Remove,LSLL_9150_06_OSS,LSLL_9150_06_OSR
2,LSLL_9150_08,LSLL-9150-08,DEMIN WATER 1-TK-915,Activate,Remove,LSLL_9150_08_OSS,LSLL_9150_08_OSR
2,LSLL_9320_03,LSLL-9320-03,1-TK-93201A,Activate,Remove,LSLL_9320_03_OSS,LSLL_9320_03_OSR
2,LSLL_9320_04,LSLL-9320-04,1-TK-93201B,Activate,Remove,LSLL_9320_04_OSS,LSLL_9320_04_OSR
2,LSLL_9400_09,LSLL-9400-09,DILUTE CAUSTIC 1-TK-,Activate,Remove,LSLL_9400_09_OSS,LSLL_9400_09_OSR
2,LSLL_9400_10,LSLL-9400-10,DILUTE CAUSTIC 1-TK-,Activate,Remove,LSLL_9400_10_OSS,LSLL_9400_10_OSR
2,LSLL_9400_15,LSLL-9400-15,SULFURIC ACID 1-V-94,Activate,Remove,LSLL_9400_15_OSS,LSLL_9400_15_OSR
2,LSLL_9400_16,LSLL-9400-16,SULFURIC ACID 1-V-94,Activate,Remove,LSLL_9400_16_OSS,LSLL_9400_16_OSR
2,PSL_9510_01,PSL-9510-01,INSTRUMENT AIR HEADE,Activate,Remove,PSL_9510_01_OSS,PSL_9510_01_OSR
2,PSL_9510_03,PSL-9510-03,INSTRUMENT AIR HEADE,Activate,Remove,PSL_9510_03_OSS,PSL_9510_03_OSR
2,PSLL_9400_01,PSLL-9400-01,CONC CAUSTIC 1-P-940,Activate,Remove,PSLL_9400_01_OSS,PSLL_9400_01_OSR
2,PSLL_9400_02,PSLL-9400-02,CONC CAUSTIC 1-P-940,Activate,Remove,PSLL_9400_02_OSS,PSLL_9400_02_OSR
2,PSLL_9510_02,PSLL-9510-02,INSTRUMENT AIR HEADE,Activate,Remove,PSLL_9510_02_OSS,PSLL_9510_02_OSR
2,DHF_101301A,DHF-101301A,SUB_1-GEN,Activate,Remove,DHF_101301A_OSS,DHF_101301A_OSR
2,DHF_101301R,DHF-101301R,SUB_1-GEN,Activate,Remove,DHF_101301R_OSS,DHF_101301R_OSR
2,DSI_090101A,DSI-090101A,UCR-CTRL ROOM,Activate,Remove,DSI_090101A_OSS,DSI_090101A_OSR
2,DSI_090102A,DSI-090102A,UCR-CTRL ROOM,Activate,Remove,DSI_090102A_OSS,DSI_090102A_OSR
2,DSI_090103R,DSI-090103R,UCR-UPS,Activate,Remove,DSI_090103R_OSS,DSI_090103R_OSR
2,DSI_090104R,DSI-090104R,UCR-UPS,Activate,Remove,DSI_090104R_OSS,DSI_090104R_OSR
2,DSI_090105A,DSI-090105A,UCR-HVAC,Activate,Remove,DSI_090105A_OSS,DSI_090105A_OSR
2,DSI_090106A,DSI-090106A,UCR-CORRIDOR,Activate,Remove,DSI_090106A_OSS,DSI_090106A_OSR
2,DSI_090107A,DSI-090107A,UCR-OFFICE,Activate,Remove,DSI_090107A_OSS,DSI_090107A_OSR
2,DSI_090108A,DSI-090108A,UCR-MISCEL.,Activate,Remove,DSI_090108A_OSS,DSI_090108A_OSR
2,DSI_090109A,DSI-090109A,UCR-BATTERY,Activate,Remove,DSI_090109A_OSS,DSI_090109A_OSR
2,DSI_090110R,DSI-090110R,UCR-SWITCH,Activate,Remove,DSI_090110R_OSS,DSI_090110R_OSR
2,DSI_090112R,DSI-090112R,UCR-SWITCH,Activate,Remove,DSI_090112R_OSS,DSI_090112R_OSR
2,DSI_090113A,DSI-090113A,UCR-EQUIP,Activate,Remove,DSI_090113A_OSS,DSI_090113A_OSR
2,DSI_090111A,DSI-090111A,UCR-FFL-EQUIP,Activate,Remove,DSI_090111A_OSS,DSI_090111A_OSR
